user_id,first_name,last_name,email,phone,password_hash,date_of_birth,gender,created_at,status,role_id,auth_user_id
1,Bilal,Khan,faculty1@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
2,Abdullah,Siddiqui,faculty2@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
3,Fahad,Tariq,faculty3@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
4,Saad,Nadeem,faculty4@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
5,Maha,Nadeem,faculty5@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
6,Rabia,Tariq,faculty6@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
7,Iqra,Mustafa,faculty7@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
8,Usman,Baig,faculty8@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
9,Zeeshan,Siddiqui,faculty9@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
10,Bilal,Nadeem,faculty10@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
11,Abdullah,Shah,faculty11@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
12,Nida,Ali,faculty12@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
13,Hamza,Farooq,faculty13@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
14,Mariam,Ahmed,faculty14@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
15,Sana,Siddiqui,faculty15@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
16,Hamza,Shah,faculty16@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
17,Hamza,Sheikh,faculty17@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
18,Zainab,Javed,faculty18@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
19,Zeeshan,Ahmed,faculty19@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
20,Hamza,Shah,faculty20@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
21,Abdullah,Chaudhry,faculty21@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
22,Sadia,Mirza,faculty22@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
23,Hassan,Mirza,faculty23@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
24,Zeeshan,Mirza,faculty24@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
25,Imran,Tariq,faculty25@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
26,Iqra,Bukhari,faculty26@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
27,Imran,Mustafa,faculty27@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
28,Kashif,Tariq,faculty28@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
29,Nida,Khan,faculty29@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
30,Omer,Tariq,faculty30@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
31,Tariq,Sheikh,faculty31@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
32,Abdullah,Ali,faculty32@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
33,Fahad,Shah,faculty33@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
34,Sana,Mehmood,faculty34@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
35,Imran,Mirza,faculty35@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,2,
36,Sana,Ali,k250001@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,3,
37,Fahad,Baig,k250002@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,3,
38,Fahad,Ahmed,k250003@nu.edu.pk,,hashed_123,,,2026-05-01 16:20:16.191147,Active,3,
